pattern,category
WOOLWORTHS,Groceries
COLES,Groceries
IGA,Groceries
ALDI,Groceries
FARMER JACKS,Groceries
BUNNINGS,Hardware
KMART,Retail
TARGET,Retail
BIG W,Retail
OFFICEWORKS,Office Supplies
JB HI-FI,Electronics
HARVEY NORMAN,Electronics
CHEMIST,Health & Pharmacy
PHARMACY,Health & Pharmacy
MEDICAL,Health & Pharmacy
DOCTOR,Health & Pharmacy
PAYMENT - THANKYOU,Transfer
IB TRANSFER,Transfer
IB BPAY,Transfer
FUEL,Transport
PETROL,Transport
BP,Transport
CALTEX,Transport
SHELL,Transport
UBER,Transport
TAXI,Transport
EASYPARK,Transport
PARKING,Transport
REDDY,Transport
AMPOL,Transport
OTR COMO,Transport
RESTAURANT,Dining Out
CAFE,Dining Out
MCDONALD,Dining Out
KFC,Dining Out
HUNGRY JACK,Dining Out
PIZZA,Dining Out
SUBWAY,Dining Out
GIANT COFFEE,Dining Out
CHARLIE BOY COFFEE,Dining Out
SIPRA KEBAB,Dining Out
AYAM PENYET,Dining Out
DUMPLING HUT,Dining Out
PRESOTEA,Dining Out
KEBAB,Dining Out
COFFEE,Dining Out
PHO,Dining Out
MONSTERA THAI,Dining Out
VARSITY NORTHBRIDGE,Dining Out
GUZMAN Y GOMEZ,Dining Out
HANOZE PARK PTY LTD,Dining Out
SUBI FISH N CHIPS,Dining Out
GYM,Fitness
FITNESS,Fitness
NETFLIX,Entertainment
SPOTIFY,Entertainment
STAN,Entertainment
BINGE,Entertainment
STEAM PURCHASE,Entertainment
BLIZZARD ENTERTAINMENT,Entertainment
READING CINEMAS,Entertainment
ELECTRICITY,Utilities
WATER,Utilities
GAS,Utilities
INTERNET,Utilities
TELSTRA,Utilities
OPTUS,Utilities
VODAFONE,Utilities
IINET,Utilities
APPLE.COM/BILL,Utilities
RENT,Housing
MORTGAGE,Housing
INSURANCE,Insurance
HBF,Insurance
BUPA,Insurance
MEDIBANK,Insurance
AMAZON,Online Shopping
EBAY,Online Shopping
ALIEXPRESS,Online Shopping
PAYPAL,Online Shopping
ATM,Cash Withdrawal
WITHDRAW,Cash Withdrawal
TRANSFER,Transfer
